Year ,School ,Speaker ,Event Type ,Controversy Topic ,Disinvitation? ,From Right or Left of Speaker ,Details
2008,Washington University in St. Louis ,Phyllis Schlafly ,Commencement ,"Views on Abortion/Contraception, Views on Gender, Other Political Views or Positions ",No ,From the Left ,view 
2008,College of St. Catherine ,Bay Buchanan ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,N/A ,view 
2008,Aquinas College ,John Corvino ,Campus Speech/Debate ,"Views on Sexual Orientation, Other Political Views or Positions ",Yes ,From the Right ,view 
2008,College of St. Catherine ,Al Franken ,Campus Speech/Debate ,Other ,Yes ,N/A ,view 
2008,University of Georgia ,Clarence Thomas ,Commencement ,Criminal/Other Misconduct ,No ,N/A ,view 
2008,George Washington University ,Julian Bond ,Commencement ,Other Political Views or Positions ,No ,From the Right ,view 
2008,College of St. Catherine ,Hillary Clinton ,Campus Speech/Debate ,Other ,Yes ,N/A ,view 
2008,Northwestern University School of Law ,Jerry Springer ,Commencement ,"Criminal/Other Misconduct, Other ",No ,From the Right ,view 
2008,University of Nebraska ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2007,Brigham Young University ,Dick Cheney ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2007,University of Southern Indiana ,Gary Yourofsky ,Campus Speech/Debate ,"Criminal/Other Misconduct, Other ",Yes ,From the Right ,view 
2007,University of California ,Lawrence Summers ,Campus Speech/Debate ,Views on Gender ,Yes ,From the Left ,view 
2007,College of St. Mary ,Roberta Wilhelm ,Commencement ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
